datetime_index,datetime,gps_relDispFromDOY165_m,gps_relZDispFromDOY165_m,gps_relDispFromDOY165Corrected_m
2007-06-14 00:00:00.000000000,2007-06-14 00:00:00.000000000,0.0,0.0,0.0
2007-06-14 00:02:00.000009600,2007-06-14 00:02:00.000009600,-0.0006594588003485669,0.0,-0.0007122365794043262
2007-06-14 00:04:00.000019200,2007-06-14 00:04:00.000019200,-8.084852156642341e-06,0.0010000000000000009,-0.00011364040584437874
2007-06-14 00:06:00.000028800,2007-06-14 00:06:00.000028800,0.000671377455862654,0.0020000000000000018,0.0005130441231191582
2007-06-14 00:08:00.000038400,2007-06-14 00:08:00.000038400,-0.0005713340461257488,0.0020000000000000018,-0.0007824451579250038
2007-06-14 00:09:59.999961600,2007-06-14 00:09:59.999961600,-0.0018958875175529855,0.003999999999999976,-0.0021597764084079997
2007-06-14 00:11:59.999971200,2007-06-14 00:11:59.999971200,-0.0038333565560284555,0.004999999999999977,-0.004150023221515447
2007-06-14 00:13:59.999980800,2007-06-14 00:13:59.999980800,0.008335794007622077,0.005999999999999978,0.007966349563079327
2007-06-14 00:15:59.999990400,2007-06-14 00:15:59.999990400,0.009573946492787755,0.004999999999999977,0.009151724269189246
2007-06-14 00:18:00.000000000,2007-06-14 00:18:00.000000000,0.0031782523467303037,-0.0030000000000000027,0.0027032523484998164
2007-06-14 00:20:00.000009600,2007-06-14 00:20:00.000009600,0.0006966279995737068,-0.008000000000000007,0.00016885022228746037
2007-06-14 00:22:00.000019200,2007-06-14 00:22:00.000019200,0.0031414091491921425,-0.007000000000000006,0.0025608535928501367
2007-06-14 00:24:00.000028800,2007-06-14 00:24:00.000028800,0.0018688555824839526,-0.008000000000000007,0.0012355222470861876
2007-06-14 00:26:00.000038400,2007-06-14 00:26:00.000038400,0.005705932643353506,-0.01100000000000001,0.005019821533323764
2007-06-14 00:27:59.999961600,2007-06-14 00:27:59.999961600,0.008224523134503947,-0.01100000000000001,0.007485634245418446
2007-06-14 00:29:59.999971200,2007-06-14 00:29:59.999971200,0.0038378377143830633,-0.013000000000000012,0.0030461710462418023
2007-06-14 00:31:59.999980800,2007-06-14 00:31:59.999980800,0.001254939220487472,-0.015000000000000013,0.00041049477771423423
2007-06-14 00:33:59.999990400,2007-06-14 00:33:59.999990400,0.0006275764174938914,-0.013000000000000012,-0.0002696458043351058
2007-06-14 00:36:00.000000000,2007-06-14 00:36:00.000000000,4.5754774038897494e-05,-0.010000000000000009,-0.000904245226845859
2007-06-14 00:38:00.000009600,2007-06-14 00:38:00.000009600,0.0006275764174938914,-0.0050000000000000044,-0.0003752013624466243
2007-06-14 00:40:00.000019200,2007-06-14 00:40:00.000019200,-2.6849589103150606e-05,-0.0050000000000000044,-0.0010824051436756435
2007-06-14 00:42:00.000028800,2007-06-14 00:42:00.000028800,0.001319049858020449,-0.0050000000000000044,0.00021071652439219688
2007-06-14 00:44:00.000038400,2007-06-14 00:44:00.000038400,0.0019367250374155986,-0.007000000000000006,0.0007756139247315872
2007-06-14 00:45:59.999961600,2007-06-14 00:45:59.999961600,0.008224523134503947,-0.007000000000000006,0.007010634247187958
2007-06-14 00:47:59.999971200,2007-06-14 00:47:59.999971200,0.004497467101854724,-0.006000000000000005,0.0032308004354829763
2007-06-14 00:49:59.999980799,2007-06-14 00:49:59.999980799,0.005074678911194397,-0.008000000000000007,0.00375523446576689
2007-06-14 00:51:59.999990400,2007-06-14 00:51:59.999990400,0.0018961895920854843,-0.010000000000000009,0.000523967372026
2007-06-14 00:54:00.000000000,2007-06-14 00:54:00.000000000,3.69927761028066e-05,-0.010000000000000009,-0.001388007223012437
2007-06-14 00:56:00.000009600,2007-06-14 00:56:00.000009600,-0.0006594588003485669,-0.010000000000000009,-0.0021372365785195697
2007-06-14 00:58:00.000019200,2007-06-14 00:58:00.000019200,-0.0012727960626204293,-0.009000000000000008,-0.0028033516198471917
2007-06-14 01:00:00.000028800,2007-06-14 01:00:00.000028800,0.0005864448549246504,-0.009000000000000008,-0.0009968884769340888
2007-06-14 01:02:00.000038400,2007-06-14 01:02:00.000038400,0.0025389997097189365,-0.007000000000000006,0.000902888598804438
2007-06-14 01:03:59.999961600,2007-06-14 01:03:59.999961600,0.0038433746099739707,-0.0040000000000000036,0.002154485720003713
2007-06-14 01:05:59.999971199,2007-06-14 01:05:59.999971199,0.005126228441437952,-0.0020000000000000018,0.003384561776835717
2007-06-14 01:07:59.999980800,2007-06-14 01:07:59.999980800,0.0037960052081231765,-0.0050000000000000044,0.0020015607644651824
2007-06-14 01:09:59.999990400,2007-06-14 01:09:59.999990400,0.0051139797483310545,-0.008000000000000007,0.003266757525617301
2007-06-14 01:12:00.000000000,2007-06-14 01:12:00.000000000,-6.162733107473173e-05,-0.01100000000000001,-0.001961627332844245
2007-06-14 01:14:00.000009600,2007-06-14 01:14:00.000009600,0.003219446943781179,-0.008000000000000007,0.001266669167379689
2007-06-14 01:16:00.000019200,2007-06-14 01:16:00.000019200,0.002564423838718355,-0.007000000000000006,0.0005588682832611057
2007-06-14 01:18:00.000028800,2007-06-14 01:18:00.000028800,0.0032531302491767278,-0.0030000000000000027,0.001194796914663719
2007-06-14 01:20:00.000038400,2007-06-14 01:20:00.000038400,0.0019529889743239437,-0.0050000000000000044,-0.00015812213482104204
2007-06-14 01:21:59.999961600,2007-06-14 01:21:59.999961600,-0.0005853404894873293,-0.006000000000000005,-0.002749229377688074
2007-06-14 01:23:59.999971200,2007-06-14 01:23:59.999971200,0.002564423838718355,0.0,0.00034775717146185055
