,temp,precip,doy
214,0.563,0.0,9.92
215,0.318,0.0,9.96
216,-0.265,0.0,10.0
217,2.266,0.0,10.04
218,2.226,0.0,10.08
219,2.667,0.0,10.12
220,3.072,0.0,10.17
221,2.145,0.0,10.21
222,3.173,0.0,10.25
223,3.087,0.0,10.29
224,2.873,0.0,10.33
225,3.148,0.0,10.38
226,3.202,0.0,10.42
227,3.95,0.0,10.46
228,4.538,0.0,10.5
229,4.475,0.0,10.54
230,3.407,0.0,10.58
231,3.229,0.0,10.62
232,2.805,0.0,10.67
233,1.608,0.0,10.71
234,1.18,0.0,10.75
235,0.898,0.0,10.79
236,0.647,0.0,10.83
237,-0.123,0.0,10.88
238,-3.059,0.0,10.92
239,-2.919,0.0,10.96
240,-1.341,0.0,11.0
241,-1.429,0.0,11.04
242,-3.511,0.0,11.08
243,-1.42,0.0,11.12
244,-1.681,0.0,11.17
245,-2.767,0.0,11.21
246,-4.752,0.0,11.25
247,-5.531,0.0,11.29
248,-5.31,0.0,11.33
249,-4.855,0.0,11.38
250,-2.585,0.0,11.42
251,-1.937,0.0,11.46
252,-0.451,0.0,11.5
253,1.932,0.0,11.54
254,2.554,0.0,11.58
255,1.962,0.0,11.62
256,0.14,0.0,11.67
257,0.783,0.0,11.71
258,-0.776,0.0,11.75
259,-1.271,0.0,11.79
260,-0.664,0.0,11.83
261,0.608,0.0,11.88
262,0.235,0.0,11.92
263,2.025,0.0,11.96
264,-0.911,0.0,12.0
265,-1.058,0.0,12.04
266,-2.225,0.0,12.08
267,-3.037,0.0,12.12
268,-2.805,0.0,12.17
269,-3.426,0.0,12.21
270,-3.172,0.0,12.25
271,-3.245,0.0,12.29
272,-2.581,0.0,12.33
273,-2.065,0.0,12.38
274,-0.868,0.0,12.42
275,-0.66,0.6,12.46
276,1.018,0.2,12.5
277,1.237,0.0,12.54
278,0.61,0.0,12.58
279,1.656,0.0,12.62
280,1.91,0.0,12.67
281,2.528,0.0,12.71
282,0.898,0.0,12.75
283,1.533,0.0,12.79
284,-0.251,0.0,12.83
285,-1.229,0.0,12.88
286,-0.706,0.0,12.92
287,-1.202,0.0,12.96
288,-0.274,0.0,13.0
289,0.776,0.0,13.04
290,-0.507,0.0,13.08
291,-0.245,0.0,13.12
292,-0.152,0.0,13.17
293,-0.732,0.0,13.21
294,-1.088,0.0,13.25
295,-1.515,0.0,13.29
296,-0.609,0.0,13.33
297,-0.942,0.0,13.38
298,0.258,0.0,13.42
299,1.683,0.0,13.46
300,2.654,0.0,13.5
301,3.49,0.0,13.54
302,4.984,0.0,13.58
303,4.541,0.0,13.62
304,3.12,0.0,13.67
305,2.209,0.0,13.71
306,1.956,0.0,13.75
307,0.974,0.0,13.79
308,3.063,0.0,13.83
309,4.523,0.0,13.88
310,3.985,0.0,13.92
311,3.697,0.0,13.96
312,0.372,0.0,14.0
313,0.257,0.0,14.04
314,0.649,0.0,14.08
315,1.515,0.0,14.12
316,0.771,0.0,14.17
317,0.069,0.0,14.21
318,0.26,0.0,14.25
319,-2.4,0.0,14.29
320,-1.2,0.0,14.33
321,-2.758,0.0,14.38
322,-3.423,0.0,14.42
323,-1.175,0.0,14.46
324,0.03,0.0,14.5
325,0.094,0.0,14.54
326,-0.805,0.0,14.58
327,-0.692,0.0,14.62
328,-3.096,0.0,14.67
329,-3.248,0.0,14.71
330,-4.354,0.0,14.75
331,-5.206,0.0,14.79
332,-4.553,0.0,14.83
333,-2.096,0.0,14.88
334,-1.57,0.0,14.92
335,-2.824,0.0,14.96
336,-3.952,0.0,15.0
337,-3.856,0.0,15.04
338,-3.852,0.0,15.08
339,-3.95,0.0,15.12
340,-4.383,0.0,15.17
341,-4.177,0.0,15.21
342,-4.966,0.0,15.25
343,-5.293,0.0,15.29
344,-5.277,0.0,15.33
345,-4.612,0.0,15.38
346,-4.251,0.0,15.42
347,-3.192,0.0,15.46
348,-1.878,0.0,15.5
349,-1.496,0.0,15.54
350,-1.071,0.0,15.58
351,-2.159,0.0,15.62
352,-1.76,0.0,15.67
353,-1.38,0.0,15.71
354,-1.045,0.0,15.75
355,-1.846,0.0,15.79
356,-1.138,0.0,15.83
357,-1.06,0.0,15.88
358,-0.456,0.0,15.92
359,-0.655,0.0,15.96
360,-1.504,0.0,16.0
361,-0.813,0.0,16.04
362,-0.876,0.0,16.08
363,-0.109,0.0,16.12
364,-2.019,0.0,16.17
365,1.728,0.0,16.21
366,0.086,0.0,16.25
367,-1.072,0.0,16.29
368,-0.511,0.0,16.33
369,-1.125,0.0,16.38
370,-0.831,0.0,16.42
371,0.692,0.0,16.46
372,0.549,0.0,16.5
373,1.75,0.0,16.54
374,0.084,0.0,16.58
375,-3.2,0.0,16.62
376,-3.808,0.0,16.67
377,-4.66,0.0,16.71
378,-4.724,0.0,16.75
