datetime_index,year,month,day,hour,mn,sec,event_ID,doy,datetime
2007-06-17 00:04:00,7,6,17,0,4,0,70617000400,168,2007-06-17 00:04:00
2007-06-17 01:00:00,7,6,17,1,0,0,70617010000,168,2007-06-17 01:00:00
2007-06-17 02:45:59,7,6,17,2,45,59,70617024559,168,2007-06-17 02:45:59
2007-06-17 02:56:59,7,6,17,2,56,59,70617025659,168,2007-06-17 02:56:59
2007-06-17 03:49:59,7,6,17,3,49,59,70617034959,168,2007-06-17 03:49:59
2007-06-17 04:01:59,7,6,17,4,1,59,70617040159,168,2007-06-17 04:01:59
2007-06-17 04:12:59,7,6,17,4,12,59,70617041259,168,2007-06-17 04:12:59
2007-06-17 05:45:00,7,6,17,5,45,0,70617054500,168,2007-06-17 05:45:00
2007-06-17 06:46:00,7,6,17,6,46,0,70617064600,168,2007-06-17 06:46:00
2007-06-17 07:23:59,7,6,17,7,23,59,70617072359,168,2007-06-17 07:23:59
2007-06-17 07:34:59,7,6,17,7,34,59,70617073459,168,2007-06-17 07:34:59
2007-06-17 07:50:59,7,6,17,7,50,59,70617075059,168,2007-06-17 07:50:59
2007-06-17 08:03:59,7,6,17,8,3,59,70617080359,168,2007-06-17 08:03:59
2007-06-17 08:18:59,7,6,17,8,18,59,70617081859,168,2007-06-17 08:18:59
2007-06-17 11:20:00,7,6,17,11,20,0,70617112000,168,2007-06-17 11:20:00
2007-06-17 18:25:00,7,6,17,18,25,0,70617182500,168,2007-06-17 18:25:00
2007-06-17 19:06:00,7,6,17,19,6,0,70617190600,168,2007-06-17 19:06:00
2007-06-17 19:17:00,7,6,17,19,17,0,70617191700,168,2007-06-17 19:17:00
2007-06-17 19:35:00,7,6,17,19,35,0,70617193500,168,2007-06-17 19:35:00
2007-06-17 19:49:00,7,6,17,19,49,0,70617194900,168,2007-06-17 19:49:00
2007-06-17 20:00:00,7,6,17,20,0,0,70617200000,168,2007-06-17 20:00:00
2007-06-17 20:14:00,7,6,17,20,14,0,70617201400,168,2007-06-17 20:14:00
2007-06-17 20:39:59,7,6,17,20,39,59,70617203959,168,2007-06-17 20:39:59
